Anchor	Attempt anchor	Anchors	\G	Matches at the start of the match attempt.
LazyMaxRepeatQuantifier	Lazy quantifier	Quantifiers	{,m}? where m >= 1	Repeats the previous item between zero and m times. Lazy, so repeating zero times is tried before increasing the repetition to m times.
PossessiveOptionalQuantifier	Possessive quantifier	Quantifiers	?+	Makes the preceding item optional. Possessive, so if the optional item can be matched, then the quantifier won’t give up its match even if the remainder of the regex fails.
PossessiveOptionalRepeatQuantifier	Possessive quantifier	Quantifiers	*+	Repeats the previous item zero or more times. Possessive, so as many items as possible will be matched, without trying any permutations with less matches even if the remainder of the regex fails.
PossessiveMultipleQuantifier	Possessive quantifier	Quantifiers	++	Repeats the previous item once or more. Possessive, so as many items as possible will be matched, without trying any permutations with less matches even if the remainder of the regex fails.
PossessiveLimitedQuantifier	Possessive quantifier	Quantifiers	{n,m}+ where n >= 0 and m >= n	Repeats the previous item between n and m times. Possessive, so as many items as possible up to m will be matched, without trying any permutations with less matches even if the remainder of the regex fails.
PossessiveMinRepeatQuantifier	Possessive quantifier	Quantifiers	{n,}+ where n >= 0	Repeats the previous item n or more times. Possessive, so as many items as possible will be matched, without trying any permutations with less matches even if the remainder of the regex fails.
Shorthand	Shorthand	Shorthand Character Classes	\d	Adds all digits to the character class. Matches a single digit if used outside character classes.
Shorthand	Shorthand	Shorthand Character Classes	\w	Adds all word characters to the character class. Matches a single word character if used outside character classes.
Shorthand	Shorthand	Shorthand Character Classes	\s	Adds all whitespace to the character class. Matches a single whitespace character if used outside character classes.
Shorthand	Shorthand	Shorthand Character Classes	\v	Adds all vertical whitespace to the character class. Matches a single vertical whitespace character if used outside character classes.
Shorthand	Shorthand	Shorthand Character Classes	\h	Adds all horizontal whitespace to the character class. Matches a single horizontal whitespace character if used outside character classes.
Shorthand	Shorthand	Shorthand Character Classes	\h	Adds all hexadecimal digits to the character class. Matches a hexadecimal digit if used outside character classes.
CharacterEscape	Character escape	Special and Non-Printable Characters	\n, \r and \t	Match an LF character, CR character and a tab character respectively
CharacterEscape	Character escape	Special and Non-Printable Characters	\a	Match the “alert” or “bell” control character (ASCII 0x07)
CharacterEscape	Character escape	Special and Non-Printable Characters	\e	Match the “escape” control character (ASCII 0x1B)
CharacterEscape	Character escape	Special and Non-Printable Characters	\f	Match the “form feed” control character (ASCII 0x0C)
CharacterEscape	Character escape	Special and Non-Printable Characters	\v	Match the “vertical tab” control character (ASCII 0x0B), but not any other vertical whitespace.
ControlCharacterEscape	Control character escape	Special and Non-Printable Characters	\cA through \cZ	Match an ASCII character Control+A through Control+Z, equivalent to \x01 through \x1A
EscapeSequence	Escape sequence	Special and Non-Printable Characters	\Q...\E	Matches the characters between \Q and \E literally, suppressing the meaning of special characters
HexidecimalEscape	Hexadecimal escape	Special and Non-Printable Characters	\xFF where FF are 2 hexadecimal digits	Matches the character at the specified position in the code page
LineBreak	Line break	Special and Non-Printable Characters	\R	Matches any line break, including CRLF as a pair, CR only, LF only, form feed, vertical tab, and any Unicode line break
LiteralCharacter	Literal character	Special and Non-Printable Characters	Any character except [\^$.|?*+()	All characters except the listed special characters match a single instance of themselves
LiteralCharacter	Literal curly braces	Special and Non-Printable Characters	{ and }	{ and } are literal characters, unless they’re part of a valid regular expression token such as a quantifier {3}
MetaCharacterEscape	Backslash escapes a metacharacter	Special and Non-Printable Characters	\ followed by any of [\^$.|?*+(){}	A backslash escapes special characters to suppress their special meaning
NullEscape	NULL escape	Special and Non-Printable Characters	\0	Match the NULL character
OctalEscape	Octal escape	Special and Non-Printable Characters	\1 through \7	Matches the character at the specified position in the ASCII table
OctalEscape	Octal escape	Special and Non-Printable Characters	\10 through \77	Matches the character at the specified position in the ASCII table
OctalEscape	Octal escape	Special and Non-Printable Characters	\100 through \177	Matches the character at the specified position in the ASCII table
OctalEscape	Octal escape	Special and Non-Printable Characters	\200 through \377	Matches the character at the specified position in the active code page
OctalEscape	Octal escape	Special and Non-Printable Characters	\400 through \777	Matches the character at the specified position in the active code page
OctalEscape	Octal escape	Special and Non-Printable Characters	\01 through \07	Matches the character at the specified position in the ASCII table
OctalEscape	Octal escape	Special and Non-Printable Characters	\010 through \077	Matches the character at the specified position in the ASCII table
OctalEscape	Octal escape	Special and Non-Printable Characters	\0100 through \0177	Matches the character at the specified position in the ASCII table
OctalEscape	Octal escape	Special and Non-Printable Characters	\0200 through \0377	Matches the character at the specified position in the active code page
AtomicGrtoup	Atomic group	Special Groups	(?>regex)	Atomic groups prevent the regex engine from backtracking back into the group after a match has been found for the group. If the remainder of the regex fails, the engine may backtrack over the group if a quantifier or alternation makes it optional. But it will not backtrack into the group to try other permutations of the group.
Comment	Comment	Special Groups	(?#comment)	Everything between (?# and ) is ignored by the regex engine.
Conditional	Conditional	Special Groups	(?(1)then|else) where 1 is the number of a capturing group and then and else are any valid regexes	If the referenced capturing group took part in the match attempt thus far, the “then” part must match for the overall regex to match. If the capturing group did not take part in the match thus far, the “else” part must match for the overall regex to match.
Conditional	Conditional	Special Groups	(?(+1)then|else) where 1 is the number of a capturing group and then and else are any valid regexes	The + is ignored and the number is taken as an absolute reference to a capturing group. If the referenced capturing group took part in the match attempt thus far, the “then” part must match for the overall regex to match. If the capturing group did not take part in the match thus far, the “else” part must match for the overall regex to match.
Conditional	Implicit lookahead conditional	Special Groups	(?(regex)then|else) where regex, then, and else are any valid regexes and regex is not the name of a capturing group	If “regex” is not the name of a capturing group, then it is interpreted as a lookahead as if you had written (?(?=regex)then|else). If the lookahead succeeds, the “then” part must match for the overall regex to match. If the lookahead fails, the “else” part must match for the overall regex to match. The lookaround is zero-length. The “then” and “else” parts consume their matches like normal regexes.
Conditional	Lookaround conditional	Special Groups	(?(?=regex)then|else) where (?=regex) is any valid lookaround and then and else are any valid regexes	If the lookaround succeeds, the “then” part must match for the overall regex to match. If the lookaround fails, the “else” part must match for the overall regex to match. The lookaround is zero-length. The “then” and “else” parts consume their matches like normal regexes.
Conditional	Named conditional	Special Groups	(?(name)then|else) where name is the name of a capturing group and then and else are any valid regexes	If the capturing group with the given name took part in the match attempt thus far, the “then” part must match for the overall regex to match. If the capturing group did not take part in the match thus far, the “else” part must match for the overall regex to match.
Conditional	Named conditional	Special Groups	(?(<name>)then|else) where name is the name of a capturing group and then and else are any valid regexes	If the capturing group with the given name took part in the match attempt thus far, the “then” part must match for the overall regex to match. If the capturing group did not take part in the match thus far, the “else” part must match for the overall regex to match.
Conditional	Named conditional	Special Groups	(?('name')then|else) where name is the name of a capturing group and then and else are any valid regexes	If the capturing group with the given name took part in the match attempt thus far, the “then” part must match for the overall regex to match. If the capturing group did not take part in the match thus far, the “else” part must match for the overall regex to match.
Lookbehind	Lookbehind	Special Groups	(group)(?<=\1)	Backreferences can be used inside lookbehind. Syntax prohibited in lookbehind is also prohibited in the referenced capturing group.
NegativeLookahead	Negative lookahead	Special Groups	(?!regex)	Similar to positive lookahead, except that negative lookahead only succeeds if the regex inside the lookahead fails to match.
NegativeLookbehind	Negative lookbehind	Special Groups	(?<!regex)	Matches at a position if the pattern inside the lookbehind cannot be matched ending at that position.
NoTextInMatch	Keep text out of the regex match	Special Groups	\K	The text matched by the part of the regex to the left of the \K is omitted from the overall regex match. Other than that the regex is matched normally from left to right. Capturing groups to the left of the \K capture as usual.
PositiveLookahead	Positive lookahead	Special Groups	(?=regex)	Matches at a position where the pattern inside the lookahead can be matched. Matches only the position. It does not consume any characters or expand the match. In a pattern like one(?=two)three, both two and three have to match at the position where the match of one ends.
PositiveLookbehind	Lookbehind	Special Groups	(?<=regex|longer regex)	Alternatives inside lookbehind can differ in length.
PositiveLookbehind	Lookbehind	Special Groups	(?<=x{n,m})	Quantifiers with a finite maximum number of repetitions can be used inside lookbehind.
PositiveLookbehind	Lookbehind	Special Groups	(?<=regex)	The full regular expression syntax can be used inside lookbehind.
PositiveLookbehind	Positive lookbehind	Special Groups	(?<=regex)	Matches at a position if the pattern inside the lookbehind can be matched ending at that position.
CodePoint	Code point	Unicode Syntax Reference	\uFFFF where FFFF are 4 hexadecimal digits	Matches a specific Unicode code point.
CodePoint	Code point	Unicode Syntax Reference	\u{FFFF} where FFFF are 1 to 4 hexadecimal digits	Matches a specific Unicode code point.
CodePoint	Code point	Unicode Syntax Reference	\x{FFFF} where FFFF are 1 to 4 hexadecimal digits	Matches a specific Unicode code point.
CodePoint	Grapheme	Unicode Syntax Reference	\X	Matches a single Unicode grapheme, whether encoded as a single code point or multiple code points using combining marks. A grapheme most closely resembles the everyday concept of a “character”.
UnicodeCategory	Negated Unicode property	Unicode Syntax Reference	\P{Property}	Matches a single Unicode code point that does not have the specified property (category, script, or block).
UnicodeCategory	Negated Unicode property	Unicode Syntax Reference	\p{^Property}	Matches a single Unicode code point that does not have the specified property (category, script, or block).
UnicodeCategory	Unicode block	Unicode Syntax Reference	\p{InBlock}	Matches a single Unicode code point that is part of the specified Unicode block. Each Unicode code point is part of exactly one block. Blocks may contain unassigned code points.
UnicodeCategory	Unicode block	Unicode Syntax Reference	\p{IsBlock}	Matches a single Unicode code point that is part of the specified Unicode block. Each Unicode code point is part of exactly one block. Blocks may contain unassigned code points.
UnicodeCategory	Unicode category	Unicode Syntax Reference	\pL where L is a Unicode category	Matches a single Unicode code point in the specified Unicode category.
UnicodeCategory	Unicode category	Unicode Syntax Reference	\PL where L is a Unicode category	Matches a single Unicode code point that is not in the specified Unicode category.
UnicodeCategory	Unicode category	Unicode Syntax Reference	\p{L} where L is a Unicode category	Matches a single Unicode code point in the specified Unicode category.
UnicodeCategory	Unicode category	Unicode Syntax Reference	\p{IsL} where L is a Unicode category	Matches a single Unicode code point in the specified Unicode category.
UnicodeCategory	Unicode category	Unicode Syntax Reference	\p{Category}	Matches a single Unicode code point in the specified Unicode category.
UnicodeCategory	Unicode property	Unicode Syntax Reference	\P{^Property}	Matches a single Unicode code point that does have the specified property (category, script, or block). Double negative is taken as positive.
UnicodeCategory	Unicode script	Unicode Syntax Reference	\p{Script}	Matches a single Unicode code point that is part of the specified Unicode script. Each Unicode code point is part of exactly one script. Scripts never contain unassigned code points.
UnicodeCategory	Unicode script	Unicode Syntax Reference	\p{IsScript}	Matches a single Unicode code point that is part of the specified Unicode script. Each Unicode code point is part of exactly one script. Scripts never contain unassigned code points.
WordBoundary	Word boundary	Word Boundaries	\b	Matches at a position that is followed by a word character but not preceded by a word character, or that is preceded by a word character but not followed by a word character.
WordBoundary	Word boundary	Word Boundaries	\B	Matches at a position that is preceded and followed by a word character, or that is not preceded and not followed by a word character.
